step,epoch,accuracy,actor_loss,kl_loss,score_mean,throughput
,,0.4086429112964367,,,,
5,0,0.4624715693707354,0.015508613549172878,0.0018071458005124441,0.328125,1300.4299351709615
10,1,0.45564821834723274,0.023450614884495735,0.0057392497055843705,0.51953125,1147.3209519199127
15,1,0.46853677028051555,0.011214757338166237,0.010300437628757209,0.55078125,1309.174770124837
20,2,0.4844579226686884,0.056548088788986206,0.011786531040343107,0.56640625,1128.2298153088175
25,3,0.4920394238059136,0.030173366889357567,0.014154287748169736,0.5859375,1222.5267493115969
30,3,0.48597422289613346,0.03539939597249031,0.015731130813946947,0.515625,1276.5837343126948
35,4,0.4806671721000758,0.020810984075069427,0.01802859327654005,0.59765625,1279.8252926253551
40,4,0.5072024260803639,0.03390711732208729,0.020148477302427636,0.4921875,1124.9957657237285
45,5,0.4935557240333586,0.01057930663228035,0.02161452998916502,0.65625,1225.1518452445005
50,6,0.4965883244882487,0.018434694036841393,0.022042226170015056,0.71875,1064.7413515871176
55,6,0.5087187263078089,0.017282476648688316,0.023097481926015462,0.65234375,1249.2686586935256
60,7,0.5140257771038665,0.017971573397517204,0.0236237651151896,0.66015625,1042.5812222829163
65,8,0.5018953752843063,0.01823566108942032,0.022076660861785058,0.734375,1121.6271088021997
70,8,0.4973464746019712,0.026547943241894245,0.023100972695829114,0.58984375,1184.8782920463184
75,9,0.510235026535254,0.015039190649986267,0.02140560265252134,0.6328125,1141.706686972309
80,9,0.5087187263078089,0.007354551926255226,0.023563580158224795,0.76953125,1013.6910427235376
85,10,0.5178165276724791,0.009989344980567694,0.024151166995579842,0.67578125,1193.0280154877637
90,11,0.513267626990144,0.015691334381699562,0.026449454831890762,0.6171875,1202.4598183449166
95,11,0.5140257771038665,0.016809675842523575,0.028365708305500448,0.8203125,1070.5410071013393
100,12,0.514783927217589,-0.0002405066043138504,0.02925472295100917,0.765625,963.0828287669849
105,13,0.511751326762699,0.0005062185227870941,0.027619891705398913,0.62890625,1278.5523928800271
110,13,0.5261561789234268,-0.0014432817697525024,0.03322241472415044,0.76953125,1110.553479316691
115,14,0.5299469294920395,0.021833859384059906,0.03059477684291778,0.69921875,1331.1693256474646
120,14,0.533737680060652,0.020773863419890404,0.031463492658076575,0.77734375,925.777239198885
